"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"STEVE.BEGIN","F","20072008","MTL",44,400.3,9.1,20.37,76,153,139,20.65,41.58,37.77,35.35
"STEVE.BERNIER","F","20072008","BUF",17,194.07,11.42,25.2,52,68,53,30.06,39.31,30.64,49.52
"STEVE.BERNIER","F","20072008","S.J",59,602.05,10.2,22.94,154,207,117,32.22,43.31,24.48,56.83
"STEVE.DOWNIE","F","20072008","PHI",32,309.15,9.66,21.13,59,127,89,21.45,46.18,32.36,39.86
"STEVE.EMINGER","D","20072008","WSH",20,214.52,10.73,22.6,67,74,48,35.45,39.15,25.4,58.26
"STEVE.MCCARTHY","D","20072008","ATL",55,773.82,14.07,29.94,173,237,235,26.82,36.74,36.43,42.4
"STEVE.MONTADOR","D","20072008","FLA",73,694.77,9.52,20.27,203,206,179,34.52,35.03,30.44,53.14
"STEVE.OTT","F","20072008","DAL",73,840.55,11.51,25.54,186,328,282,23.37,41.21,35.43,39.74
"STEVE.REINPRECHT","F","20072008","ARI",81,1008.23,12.45,26.44,288,348,308,30.51,36.86,32.63,48.32
"STEVE.STAIOS","D","20072008","EDM",82,1445.52,17.63,38.06,305,537,420,24.17,42.55,33.28,42.07
"STEVE.WAGNER","D","20072008","STL",24,334.75,13.95,31.2,80,117,75,29.41,43.01,27.57,51.61
"STU.BARNES","F","20072008","DAL",79,821.6,10.4,22.95,154,266,283,21.91,37.84,40.26,35.24
"TANNER.GLASS","F","20072008","FLA",41,178.88,4.36,9.29,50,61,53,30.49,37.2,32.32,48.54
"TAYLOR.PYATT","F","20072008","VAN",79,892.03,11.29,25.2,226,314,206,30.29,42.09,27.61,52.31
"TEDDY.PURCELL","F","20072008","L.A",10,109.5,10.95,23.29,28,40,30,28.57,40.82,30.61,48.28
"TEEMU.SELANNE","F","20072008","ANA",26,337.9,13,28.98,77,109,69,30.2,42.75,27.06,52.74
"THOMAS.VANEK","F","20072008","BUF",82,1034.15,12.61,27.43,281,296,229,34.86,36.72,28.41,55.1
"TIM.CONBOY","D","20072008","CAR",19,117.85,6.2,13.82,42,52,25,35.29,43.7,21.01,62.69
"TIM.CONNOLLY","F","20072008","BUF",48,587.72,12.24,26.7,175,241,153,30.76,42.36,26.89,53.35
"TIM.GLEASON","D","20072008","CAR",80,1210.37,15.13,34.05,326,492,361,27.65,41.73,30.62,47.45
"TIM.JACKMAN","F","20072008","NYI",36,233.75,6.49,13.68,49,76,51,27.84,43.18,28.98,49
"T.J..HENSICK","F","20072008","COL",31,309.88,10,20.88,75,104,74,29.64,41.11,29.25,50.34
"TOBIAS.ENSTROM","D","20072008","ATL",82,1249.78,15.24,32.35,320,530,437,24.86,41.18,33.95,42.27
