"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"AARON.NESS","D","20132014","NYI",20,273.02,13.65,26.72,86,72,77,36.6,30.64,32.77,52.76
"AARON.ROME","D","20132014","DAL",25,300,12,24.39,113,98,98,36.57,31.72,31.72,53.55
"AARON.VOLPATTI","F","20132014","WSH",41,299.48,7.3,14.64,81,115,71,30.34,43.07,26.59,53.29
"ADAM.BURISH","F","20132014","S.J",15,125.27,8.35,16.74,38,44,49,29.01,33.59,37.4,43.68
"ADAM.CRACKNELL","F","20132014","STL",19,150.85,7.94,16.39,34,52,28,29.82,45.61,24.56,54.84
"ADAM.HALL","F","20132014","PHI",80,539.47,6.74,14.25,92,162,226,19.17,33.75,47.08,28.93
"ADAM.HENRIQUE","F","20132014","N.J",77,1026.05,13.33,27.03,289,381,274,30.61,40.36,29.03,51.33
"ADAM.LARSSON","D","20132014","N.J",26,424.52,16.33,32.87,138,110,100,39.66,31.61,28.74,57.98
"ADAM.MCQUAID","D","20132014","BOS",30,424.05,14.13,28.54,148,157,154,32.24,34.2,33.55,49.01
"ADAM.PARDY","D","20132014","WPG",60,799.83,13.33,26.94,234,258,164,35.67,39.33,25,58.79
"ALEC.MARTINEZ","D","20132014","L.A",61,803.57,13.17,26.99,237,229,181,36.63,35.39,27.98,56.7
"ALEKSANDER.BARKOV","F","20132014","FLA",54,747.57,13.84,28.15,226,275,204,32.06,39.01,28.94,52.56
"ALES.HEMSKY","F","20132014","EDM",55,726.1,13.2,27.08,207,287,250,27.82,38.58,33.6,45.3
"ALES.HEMSKY","F","20132014","OTT",20,261.43,13.07,26.56,104,88,86,37.41,31.65,30.94,54.74
"ALEX.BURROWS","F","20132014","VAN",49,650.13,13.27,27.29,256,259,167,37.54,37.98,24.49,60.52
"ALEX.CHIASSON","F","20132014","DAL",79,865.35,10.95,22.41,299,314,242,34.97,36.73,28.3,55.27
"ALEX.EDLER","D","20132014","VAN",63,1125.55,17.87,36.59,363,375,351,33.33,34.44,32.23,50.84
"ALEXEI.EMELIN","D","20132014","MTL",59,988.48,16.75,34.57,242,416,361,23.75,40.82,35.43,40.13
"ALEX.GALCHENYUK","F","20132014","MTL",65,791.2,12.17,25.3,246,293,247,31.3,37.28,31.42,49.9
"ALEX.GOLIGOSKI","D","20132014","DAL",81,1466.25,18.1,36.95,441,562,468,29.98,38.21,31.82,48.51
"ALEX.KILLORN","F","20132014","T.B",82,1182.95,14.43,29.33,362,415,324,32.88,37.69,29.43,52.77
"ALEX.OVECHKIN","F","20132014","WSH",78,1174.52,15.06,30.21,434,337,293,40.79,31.67,27.54,59.7
"ALEX.PETROVIC","D","20132014","FLA",7,81.22,11.6,22.95,21,25,24,30,35.71,34.29,46.67
"ALEX.PIETRANGELO","D","20132014","STL",81,1524.7,18.82,38.51,544,563,495,33.96,35.14,30.9,52.36
"ALEX.SEMIN","F","20132014","CAR",65,1008.7,15.52,31.24,420,353,287,39.62,33.3,27.08,59.41
"ALEX.STEEN","F","20132014","STL",68,997.02,14.66,30.01,351,395,361,31.71,35.68,32.61,49.3
"ALEX.SULZER","D","20132014","BUF",25,386.92,15.48,32.27,116,137,133,30.05,35.49,34.46,46.59
"ALEX.TANGUAY","F","20132014","COL",16,204.9,12.81,27.36,62,76,83,28.05,34.39,37.56,42.76
"ALEX.URBOM","D","20132014","WSH",20,252.68,12.63,25.86,88,72,84,36.07,29.51,34.43,51.16
"ANDERS.LEE","F","20132014","NYI",22,280.12,12.73,25.78,94,101,86,33.45,35.94,30.6,52.22
"ANDRE.BENOIT","D","20132014","COL",79,1238.12,15.67,31.67,384,386,408,32.6,32.77,34.63,48.48
"ANDREI.LOKTIONOV","F","20132014","CAR",20,245.45,12.27,24.31,69,82,49,34.5,41,24.5,58.47
"ANDREI.LOKTIONOV","F","20132014","N.J",48,535.52,11.16,22.63,167,157,92,40.14,37.74,22.12,64.48
"ANDREI.MARKOV","D","20132014","MTL",81,1450,17.9,37.07,396,619,500,26.14,40.86,33,44.2
"ANDREJ.MESZAROS","D","20132014","BOS",14,233.45,16.68,32.36,88,74,62,39.29,33.04,27.68,58.67
"ANDREJ.MESZAROS","D","20132014","PHI",38,580.05,15.26,32.81,169,183,139,34.42,37.27,28.31,54.87
"ANDREJ.SEKERA","D","20132014","CAR",74,1336.83,18.07,36.43,467,542,419,32.7,37.96,29.34,52.71
"ANDREJ.SUSTR","D","20132014","T.B",43,612.98,14.26,29.2,148,169,171,30.33,34.63,35.04,46.39
"ANDREW.ALBERTS","D","20132014","VAN",10,70.12,7.01,13.65,18,22,30,25.71,31.43,42.86,37.5
"ANDREW.COGLIANO","F","20132014","ANA",82,1076.63,13.13,27.12,356,435,376,30.51,37.28,32.22,48.63
"ANDREW.DESJARDINS","F","20132014","S.J",81,789.02,9.74,19.47,225,286,218,30.86,39.23,29.9,50.79
"ANDREW.EBBETT","F","20132014","PIT",9,90.45,10.05,19.55,27,29,28,32.14,34.52,33.33,49.09
"ANDREW.FERENCE","D","20132014","EDM",71,1252.62,17.64,36.26,356,507,416,27.83,39.64,32.53,46.11
"ANDREW.LADD","F","20132014","WPG",78,1134.5,14.54,29.41,340,484,330,29.46,41.94,28.6,50.75
"ANDREW.MACDONALD","D","20132014","NYI",63,1187.08,18.84,38.27,350,432,402,29.56,36.49,33.95,46.54
"ANDREW.MACDONALD","D","20132014","PHI",19,361.88,19.05,38.96,107,105,108,33.44,32.81,33.75,49.77
"ANDREW.SHAW","F","20132014","CHI",80,1003.43,12.54,25.04,401,304,185,45.06,34.16,20.79,68.43
"ANDY.GREENE","D","20132014","N.J",82,1492.27,18.2,36.74,410,552,459,28.85,38.85,32.3,47.18
"ANDY.MIELE","F","20132014","ARI",7,62.75,8.96,17.96,26,17,13,46.43,30.36,23.21,66.67
"ANTHONY.PELUSO","F","20132014","WPG",53,301.8,5.69,11.41,81,82,65,35.53,35.96,28.51,55.48
"ANTOINE.ROUSSEL","F","20132014","DAL",81,918.58,11.34,23.14,229,380,317,24.73,41.04,34.23,41.94
"ANTOINE.VERMETTE","F","20132014","ARI",82,1146.58,13.98,28.42,336,478,439,26.82,38.15,35.04,43.35
"ANTON.BELOV","D","20132014","EDM",57,835.08,14.65,30.18,220,276,242,29.81,37.4,32.79,47.62
"ANTON.LANDER","F","20132014","EDM",27,283.95,10.52,21.67,70,91,105,26.32,34.21,39.47,40
"ANTON.STRALMAN","D","20132014","NYR",81,1391.4,17.18,34.92,396,479,394,31.21,37.75,31.05,50.13
"ANTON.VOLCHENKOV","D","20132014","N.J",56,714.3,12.76,25.79,184,243,187,29.97,39.58,30.46,49.6
"ANZE.KOPITAR","F","20132014","L.A",82,1229.28,14.99,31.1,407,441,378,33.2,35.97,30.83,51.85
"ARTEM.ANISIMOV","F","20132014","CBJ",81,979.32,12.09,25,271,310,329,29.78,34.07,36.15,45.17
"BARRET.JACKMAN","D","20132014","STL",79,1221.83,15.47,31.72,354,411,343,31.95,37.09,30.96,50.79
"BEAU.BENNETT","F","20132014","PIT",21,261.03,12.43,24.56,82,92,53,36.12,40.53,23.35,60.74
"BEN.EAGER","F","20132014","EDM",7,50.3,7.19,14.3,8,20,11,20.51,51.28,28.21,42.11
"BEN.HANOWSKI","F","20132014","CGY",11,78.1,7.1,14.32,28,22,13,44.44,34.92,20.63,68.29
"BEN.LOVEJOY","D","20132014","ANA",78,1313.2,16.84,34.88,439,491,471,31.33,35.05,33.62,48.24
"BENOIT.POULIOT","F","20132014","NYR",80,906.07,11.33,23.04,310,315,221,36.64,37.23,26.12,58.38
"BEN.SMITH","F","20132014","CHI",75,817.42,10.9,21.68,127,262,350,17.19,35.45,47.36,26.62
"BEN.STREET","F","20132014","CGY",13,114.18,8.78,17.79,39,45,31,33.91,39.13,26.96,55.71
"B.J..CROMBEEN","F","20132014","T.B",55,470.12,8.55,17.44,117,133,133,30.55,34.73,34.73,46.8
"BLAIR.JONES","F","20132014","CGY",14,137.17,9.8,19.21,39,41,43,31.71,33.33,34.96,47.56
"BLAKE.COMEAU","F","20132014","CBJ",61,697.43,11.43,23.65,164,259,195,26.54,41.91,31.55,45.68
"BLAKE.WHEELER","F","20132014","WPG",82,1208.83,14.74,29.8,384,420,316,34.29,37.5,28.21,54.86
"BOBBY.RYAN","F","20132014","OTT",70,971.78,13.88,28.72,299,380,276,31.31,39.79,28.9,52
"BOONE.JENNER","F","20132014","CBJ",72,933.1,12.96,26.86,255,277,267,31.91,34.67,33.42,48.85
"BOYD.GORDON","F","20132014","EDM",74,830.15,11.22,23.01,143,293,656,13.1,26.83,60.07,17.9
"BRACKEN.KEARNS","F","20132014","S.J",25,290.02,11.6,23.01,91,106,83,32.5,37.86,29.64,52.3
"BRAD.BOYES","F","20132014","FLA",78,1086.13,13.92,28.5,307,409,301,30.19,40.22,29.6,50.49
"BRAD.MALONE","F","20132014","COL",32,214.15,6.69,13.19,99,70,49,45.41,32.11,22.48,66.89
"BRAD.MARCHAND","F","20132014","BOS",82,1126.62,13.74,27.4,383,482,319,32.35,40.71,26.94,54.56
"BRAD.RICHARDS","F","20132014","NYR",82,1191.43,14.53,29.52,498,378,254,44.07,33.45,22.48,66.22
"BRAD.RICHARDSON","F","20132014","VAN",73,915.75,12.54,25.25,212,261,448,23.02,28.34,48.64,32.12
"BRAD.STUART","D","20132014","S.J",61,1020.25,16.73,33.28,340,385,348,31.69,35.88,32.43,49.42
"BRANDON.BOLLIG","F","20132014","CHI",82,807.97,9.85,19.63,85,288,389,11.15,37.8,51.05,17.93
"BRANDON.DUBINSKY","F","20132014","CBJ",76,1032.18,13.58,28.03,307,386,342,29.66,37.29,33.04,47.3
"BRANDON.GORMLEY","D","20132014","ARI",5,67.2,13.44,26.65,19,23,15,33.33,40.35,26.32,55.88
"BRANDON.MCMILLAN","F","20132014","ARI",22,250.58,11.39,22.77,76,84,63,34.08,37.67,28.25,54.68
"BRANDON.PIRRI","F","20132014","CHI",28,314.3,11.22,22.28,120,107,46,43.96,39.19,16.85,72.29
"BRANDON.PIRRI","F","20132014","FLA",21,242.83,11.56,23.92,79,83,69,34.2,35.93,29.87,53.38
"BRANDON.PRUST","F","20132014","MTL",52,559.82,10.77,22.11,143,185,203,26.93,34.84,38.23,41.33
"BRANDON.SAAD","F","20132014","CHI",78,1049.68,13.46,26.73,384,364,221,39.63,37.56,22.81,63.47
"BRANDON.SUTTER","F","20132014","PIT",81,990.4,12.23,24.69,223,379,321,24.16,41.06,34.78,40.99
"BRAYDEN.MCNABB","D","20132014","BUF",12,169.27,14.11,29.17,49,39,68,31.41,25,43.59,41.88
"BRAYDEN.SCHENN","F","20132014","PHI",82,1080.27,13.17,27.8,335,377,276,33.91,38.16,27.94,54.83
"BRAYDON.COBURN","D","20132014","PHI",82,1463.23,17.84,37.65,471,593,497,30.17,37.99,31.84,48.66
"BRENDAN.GALLAGHER","F","20132014","MTL",81,1073.78,13.26,27.43,354,432,355,31.03,37.86,31.11,49.93
"BRENDAN.SMITH","D","20132014","DET",71,1219.85,17.18,35.26,384,395,317,35.04,36.04,28.92,54.78
"BRENDEN.DILLON","D","20132014","DAL",80,1465.33,18.32,37.36,406,529,442,29.48,38.42,32.1,47.88
"BRENDEN.MORROW","F","20132014","STL",71,764.08,10.76,21.92,242,236,173,37.17,36.25,26.57,58.31
"BRENT.BURNS","D","20132014","S.J",69,977.45,14.17,28.44,351,370,348,32.83,34.61,32.55,50.21
"BRENT.SEABROOK","D","20132014","CHI",82,1476.17,18,35.86,505,529,378,35.76,37.46,26.77,57.19
"BRETT.BELLEMORE","D","20132014","CAR",64,976.4,15.26,30.77,273,338,346,28.53,35.32,36.15,44.1
"BRETT.BULMER","F","20132014","MIN",5,53.38,10.68,21.12,8,21,27,14.29,37.5,48.21,22.86
"BRETT.CONNOLLY","F","20132014","T.B",11,117.77,10.71,21.66,41,50,21,36.61,44.64,18.75,66.13
"BRETT.SUTTER","F","20132014","CAR",17,120.2,7.07,14.33,30,29,47,28.3,27.36,44.34,38.96
"BRIAN.BOYLE","F","20132014","NYR",82,830.4,10.13,20.57,124,275,399,15.54,34.46,50,23.71
"BRIAN.CAMPBELL","D","20132014","FLA",82,1686.47,20.57,42.14,494,611,501,30.76,38.04,31.2,49.65
"BRIAN.DUMOULIN","D","20132014","PIT",6,91.95,15.33,31.82,34,45,29,31.48,41.67,26.85,53.97
"BRIAN.FLYNN","F","20132014","BUF",79,932.92,11.81,24.15,260,281,307,30.66,33.14,36.2,45.86
"BRIAN.GIBBONS","F","20132014","PIT",41,446.68,10.89,21.93,130,189,113,30.09,43.75,26.16,53.5
"BRIAN.GIONTA","F","20132014","MTL",81,1175.13,14.51,29.99,290,488,448,23.65,39.8,36.54,39.3
