"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"AARON.EKBLAD","D","20142015","FLA",81,1477.17,18.24,36.44,550,461,349,40.44,33.9,25.66,61.18
"ADAM.BURISH","F","20142015","S.J",20,188.32,9.42,18.94,35,58,79,20.35,33.72,45.93,30.7
"ADAM.CLENDENING","D","20142015","VAN",17,262.68,15.45,30.85,74,76,66,34.26,35.19,30.56,52.86
"ADAM.CRACKNELL","F","20142015","CBJ",17,157.73,9.28,19.22,43,60,48,28.48,39.74,31.79,47.25
"ADAM.HENRIQUE","F","20142015","N.J",75,1026.02,13.68,27.39,267,347,320,28.59,37.15,34.26,45.49
"ADAM.LARSSON","D","20142015","N.J",64,1091.87,17.06,34.11,225,360,358,23.86,38.18,37.96,38.59
"ADAM.LOWRY","F","20142015","WPG",80,987.3,12.34,25.74,309,371,262,32.8,39.38,27.81,54.12
"ADAM.MCQUAID","D","20142015","BOS",63,1022.48,16.23,31.99,340,387,342,31.81,36.2,31.99,49.85
"ADAM.PARDY","D","20142015","WPG",55,672.98,12.24,25.89,216,217,171,35.76,35.93,28.31,55.81
"ALEC.MARTINEZ","D","20142015","L.A",56,902.48,16.12,32.15,273,289,284,32.27,34.16,33.57,49.01
"ALEKSANDER.BARKOV","F","20142015","FLA",71,1032.22,14.54,28.79,289,394,314,28.99,39.52,31.49,47.93
"ALES.HEMSKY","F","20142015","DAL",76,871.3,11.46,23.56,338,324,246,37.22,35.68,27.09,57.88
"ALEX.BIEGA","D","20142015","VAN",7,106.03,15.15,29.39,37,36,34,34.58,33.64,31.78,52.11
"ALEX.BURROWS","F","20142015","VAN",70,823.35,11.76,23.99,276,319,251,32.62,37.71,29.67,52.37
"ALEX.CHIASSON","F","20142015","OTT",76,793.87,10.45,21.15,277,298,242,33.9,36.47,29.62,53.37
"ALEX.EDLER","D","20142015","VAN",74,1316.17,17.79,36.5,445,502,469,31.43,35.45,33.12,48.69
"ALEXEI.EMELIN","D","20142015","MTL",68,1171.22,17.22,34.54,335,462,415,27.64,38.12,34.24,44.67
"ALEXEY.MARCHENKO","D","20142015","DET",13,188.52,14.5,29.24,63,66,34,38.65,40.49,20.86,64.95
"ALEX.GALCHENYUK","F","20142015","MTL",80,1113.92,13.92,27.9,404,421,314,35.47,36.96,27.57,56.27
"ALEX.GOLIGOSKI","D","20142015","DAL",81,1483.12,18.31,37.69,484,669,502,29.24,40.42,30.33,49.09
"ALEX.KILLORN","F","20142015","T.B",71,964.13,13.58,28.22,353,340,232,38.16,36.76,25.08,60.34
"ALEX.OVECHKIN","F","20142015","WSH",81,1288.38,15.91,32.07,485,486,343,36.91,36.99,26.1,58.57
"ALEX.PETROVIC","D","20142015","FLA",33,501.72,15.2,29.63,158,157,138,34.88,34.66,30.46,53.38
"ALEX.PIETRANGELO","D","20142015","STL",81,1575.87,19.46,38.93,509,608,531,30.89,36.89,32.22,48.94
"ALEX.SEMIN","F","20142015","CAR",57,788.6,13.84,27.28,292,251,193,39.67,34.1,26.22,60.21
"ALEX.STEEN","F","20142015","STL",74,1076.4,14.55,29.01,395,440,401,31.96,35.6,32.44,49.62
"ALEX.TANGUAY","F","20142015","COL",80,1096.18,13.7,27.77,328,371,388,30.17,34.13,35.69,45.81
