"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"AARON.EKBLAD","D","20152016","FLA",78,1378.33,17.67,36.24,480,525,378,34.71,37.96,27.33,55.94
"AARON.NESS","D","20152016","WSH",8,97.35,12.17,25.11,25,25,12,40.32,40.32,19.35,67.57
"ADAM.CLENDENING","D","20152016","EDM",20,281.42,14.07,29.49,76,67,74,35.02,30.88,34.1,50.67
"ADAM.CLENDENING","D","20152016","PIT",9,112.28,12.48,26.29,43,46,26,37.39,40,22.61,62.32
"ADAM.CRACKNELL","F","20152016","EDM",8,83.95,10.49,21.3,22,15,36,30.14,20.55,49.32,37.93
"ADAM.CRACKNELL","F","20152016","VAN",44,505.17,11.48,23.03,121,151,146,28.95,36.12,34.93,45.32
"ADAM.HENRIQUE","F","20152016","N.J",80,1109.7,13.87,28.35,348,367,349,32.71,34.49,32.8,49.93
"ADAM.LARSSON","D","20152016","N.J",82,1520.05,18.54,37.88,315,545,680,20.45,35.39,44.16,31.66
"ADAM.LOWRY","F","20152016","WPG",74,855.83,11.57,23.83,237,311,273,28.87,37.88,33.25,46.47
"ADAM.MCQUAID","D","20152016","BOS",64,979.63,15.31,30.83,375,377,375,33.27,33.45,33.27,50
"ADAM.PARDY","D","20152016","EDM",9,156.87,17.43,35.05,53,40,45,38.41,28.99,32.61,54.08
"ADAM.PARDY","D","20152016","WPG",14,149.95,10.71,22.7,48,53,32,36.09,39.85,24.06,60
"ADAM.PELECH","D","20152016","NYI",9,134.12,14.9,30.98,32,42,41,27.83,36.52,35.65,43.84
"ALEC.MARTINEZ","D","20152016","L.A",78,1297.45,16.63,33.6,438,394,412,35.21,31.67,33.12,51.53
"ALEKSANDER.BARKOV","F","20152016","FLA",66,948.07,14.36,29.8,263,374,301,28.04,39.87,32.09,46.63
"ALES.HEMSKY","F","20152016","DAL",75,841.17,11.22,22.82,268,328,276,30.73,37.61,31.65,49.26
"ALEX.BIEGA","D","20152016","VAN",51,781.57,15.32,30.74,254,198,194,39.32,30.65,30.03,56.7
"ALEX.BURMISTROV","F","20152016","WPG",81,1057.32,13.05,26.88,283,365,269,30.86,39.8,29.33,51.27
"ALEX.BURROWS","F","20152016","VAN",79,885.42,11.21,22.54,260,308,264,31.25,37.02,31.73,49.62
"ALEX.CHIASSON","F","20152016","OTT",76,821.4,10.81,21.7,192,322,310,23.3,39.08,37.62,38.25
"ALEX.EDLER","D","20152016","VAN",52,941.72,18.11,36.13,278,411,385,25.88,38.27,35.85,41.93
"ALEXEI.EMELIN","D","20152016","MTL",71,1265.12,17.82,36.03,379,483,462,28.63,36.48,34.89,45.07
"ALEXEY.MARCHENKO","D","20152016","DET",66,960.45,14.55,29.65,269,288,302,31.32,33.53,35.16,47.11
"ALEX.GALCHENYUK","F","20152016","MTL",81,1072.58,13.24,26.83,439,368,245,41.73,34.98,23.29,64.18
"ALEX.GOLIGOSKI","D","20152016","DAL",82,1545.58,18.85,38.27,507,591,491,31.91,37.19,30.9,50.8
"ALEX.GRANT","D","20152016","ARI",5,59.5,11.9,24.63,21,11,14,45.65,23.91,30.43,60
"ALEX.GRENIER","F","20152016","VAN",6,68.1,11.35,23.4,29,18,20,43.28,26.87,29.85,59.18
"ALEX.KHOKHLACHEV","F","20152016","BOS",5,51.23,10.25,21.64,21,17,17,38.18,30.91,30.91,55.26
"ALEX.KILLORN","F","20152016","T.B",81,1102.03,13.61,28.25,346,369,318,33.49,35.72,30.78,52.11
"ALEX.OVECHKIN","F","20152016","WSH",79,1227.83,15.54,31.19,401,463,372,32.44,37.46,30.1,51.88
"ALEX.PETROVIC","D","20152016","FLA",66,978.93,14.83,30.33,287,328,329,30.4,34.75,34.85,46.59
"ALEX.PIETRANGELO","D","20152016","STL",73,1477.23,20.24,40.46,448,490,502,31.11,34.03,34.86,47.16
"ALEX.SEMIN","F","20152016","MTL",14,142.42,10.17,21.11,46,52,35,34.59,39.1,26.32,56.79
"ALEX.STEEN","F","20152016","STL",67,1005.67,15.01,30.16,379,389,372,33.25,34.12,32.63,50.47
"ALEX.TANGUAY","F","20152016","ARI",18,217.13,12.06,25.3,85,65,59,40.67,31.1,28.23,59.03
"ALEX.TANGUAY","F","20152016","COL",52,672.53,12.93,26.67,212,220,193,33.92,35.2,30.88,52.35
"ALEX.WENNBERG","F","20152016","CBJ",69,874.02,12.67,25.57,311,270,264,36.8,31.95,31.24,54.09
"ANDERS.LEE","F","20152016","NYI",80,935.48,11.69,23.01,287,293,231,35.39,36.13,28.48,55.41
"ANDREAS.ATHANASIOU","F","20152016","DET",37,311.55,8.42,17.21,99,109,59,37.08,40.82,22.1,62.66
"ANDREAS.MARTINSEN","F","20152016","COL",55,588.92,10.71,21.91,137,199,189,26.1,37.9,36,42.02
"ANDRE.BURAKOVSKY","F","20152016","WSH",79,959.38,12.14,24.43,291,285,215,36.79,36.03,27.18,57.51
"ANDREI.MARKOV","D","20152016","MTL",81,1420.6,17.54,35.54,501,555,487,32.47,35.97,31.56,50.71
"ANDREJ.NESTRASIL","F","20152016","CAR",55,707.3,12.86,25.53,168,260,202,26.67,41.27,32.06,45.41
"ANDREJ.SEKERA","D","20152016","EDM",81,1408.73,17.39,35.45,402,593,483,27.2,40.12,32.68,45.42
"ANDREJ.SUSTR","D","20152016","T.B",77,1138.37,14.78,30.73,250,393,328,25.75,40.47,33.78,43.25
"ANDREW.AGOZZINO","F","20152016","COL",9,74.45,8.27,17.34,17,28,20,26.15,43.08,30.77,45.95
"ANDREW.BODNARCHUK","D","20152016","CBJ",16,220.77,13.8,27.44,53,88,69,25.24,41.9,32.86,43.44
"ANDREW.BODNARCHUK","D","20152016","COL",21,222.45,10.59,21.71,65,80,47,33.85,41.67,24.48,58.04
"ANDREW.CAMPBELL","D","20152016","TOR",6,66.97,11.16,23.35,27,28,28,32.53,33.73,33.73,49.09
"ANDREW.COGLIANO","F","20152016","ANA",82,1006.97,12.28,25.11,252,394,361,25.02,39.13,35.85,41.11
"ANDREW.COPP","F","20152016","WPG",77,550.25,7.15,14.74,123,166,142,28.54,38.52,32.95,46.42
"ANDREW.DESJARDINS","F","20152016","CHI",77,868.87,11.28,22.58,165,275,423,19.12,31.87,49.02,28.06
"ANDREW.FERENCE","D","20152016","EDM",6,70.53,11.76,24.94,21,34,17,29.17,47.22,23.61,55.26
"ANDREW.LADD","F","20152016","CHI",19,249.97,13.16,26.61,75,110,71,29.3,42.97,27.73,51.37
"ANDREW.LADD","F","20152016","WPG",59,816.65,13.84,28.98,261,344,255,30.35,40,29.65,50.58
"ANDREW.MACDONALD","D","20152016","PHI",28,481.23,17.19,34.82,149,136,128,36.08,32.93,30.99,53.79
