AverageAge,GoalDiff,GoalsAgainst,GoalsFor,OTL,PenaltyKillPercentage,PenaltyMinsPG,Points,PointsPercentageofMax,PowerPlayGoals,PowerPlayOppurtunities,PowerPlayPercentage,RegularSeasonWinPercentage,ShotPercentage,SOG,SOS,SRS
-2,1.4268292682926829,-0.6219512195121952,0.8048780487804876,0.03658536585365854,3.069999999999993,6.200000000000001,0.25609756097560954,0.1279999999999999,0.25609756097560976,0.06097560975609717,4.120000000000001,0.1097560975609756,1.5999999999999996,2.646341463414636,0,1.3599999999999999
1.3000000000000007,0.37804878048780477,0.17073170731707332,0.5487804878048781,-0.01219512195121951,0.7199999999999989,-2.5,0.23170731707317094,0.1160000000000001,0.07317073170731692,0.8292682926829267,-1.3299999999999983,0.12195121951219512,1.3999999999999986,1.012195121951219,-0.17,0.3
1.8000000000000007,-0.3780487804878052,0.17073170731707332,-0.2073170731707319,-0.03658536585365853,-1.789999999999992,-2.9000000000000004,0.012195121951219523,0.006000000000000005,-0.060975609756097615,-0.012195121951219967,-1.0899999999999999,0.024390243902439046,-0.5,-0.6707317073170742,0.030000000000000013,-0.33
-1.3000000000000007,0.3902439024390243,-0.23170731707317094,0.15853658536585336,-0.060975609756097573,7.420000000000002,-0.5,0.10975609756097571,0.05500000000000005,0.25609756097560976,0.4024390243902438,3.150000000000002,0.08536585365853655,0.6999999999999993,-0.5121951219512191,0.09000000000000001,0.5
3.400000000000002,1.0731707317073171,-0.4390243902439024,0.6341463414634148,-0.06097560975609756,1.3700000000000045,-1,0.35365853658536595,0.17700000000000005,0.1707317073170731,-0.29268292682926855,3.9899999999999984,0.20731707317073167,0.6000000000000014,4.317073170731703,-0.23,0.88
0.09999999999999787,0.08536585365853666,-0.41463414634146334,-0.3292682926829267,-0.03658536585365854,-0.8699999999999903,4.100000000000001,0.2073170731707319,0.10400000000000009,-0.012195121951219523,0.30487804878048763,-1.1499999999999986,0.12195121951219512,-0.5999999999999996,-1.5975609756097526,-0.030000000000000006,0.21999999999999997
-0.1999999999999993,-0.0731707317073167,-0.35365853658536617,-0.42682926829268286,-0.012195121951219495,0.7199999999999989,0.5999999999999979,0.060975609756097615,0.030000000000000027,0,-0.024390243902439046,0.07000000000000028,0.03658536585365857,-0.29999999999999893,-3.487804878048781,0.020000000000000004,-0.07
1.1000000000000014,-0.012195121951219967,-0.1341463414634143,-0.14634146341463428,-0.03658536585365854,3.9200000000000017,5.800000000000001,0.08536585365853666,0.04200000000000004,0.03658536585365835,0.14634146341463428,0.16000000000000014,0.060975609756097504,-0.09999999999999964,-1.2682926829268304,-0.13,-0.03999999999999998
0.40000000000000213,0.7926829268292681,-0.3536585365853657,0.4390243902439024,0.03658536585365854,-1.9000000000000057,3.6000000000000014,0.03658536585365835,0.017999999999999905,0.012195121951219523,0.15853658536585336,-0.3500000000000014,0,0.09999999999999964,3.670731707317074,-0.07,0.6799999999999999
-0.8000000000000007,0.24390243902439046,0.4024390243902438,0.6463414634146343,-0.01219512195121951,-0.15000000000000568,2,0.13414634146341475,0.06700000000000006,0.20731707317073167,1.0975609756097562,0.1999999999999993,0.07317073170731703,1.5,1.9512195121951201,-0.020000000000000004,0.24
-2.1999999999999993,0.28048780487804903,-0.08536585365853666,0.19512195121951237,-0.02439024390243902,-3.3999999999999915,-1.700000000000001,0.04878048780487809,0.025000000000000022,0.03658536585365857,0.1829268292682924,0.05999999999999872,0.03658536585365857,0.5,0.5,-0.03,0.21
-1.4000000000000021,0,-0.3536585365853657,-0.3536585365853657,0.03658536585365853,-1.0699999999999932,3.3000000000000007,0.03658536585365857,0.019000000000000017,-0.024390243902439046,0.08536585365853622,-0.6900000000000013,0,-1.700000000000001,1.4756097560975618,-0.010000000000000009,-0.020000000000000018
2.3000000000000007,-0.17073170731707332,0.29268292682926855,0.12195121951219523,0.024390243902439032,-4.760000000000005,-0.5,0.024390243902439046,0.01200000000000001,-0.07317073170731714,0.6585365853658534,-3.280000000000001,0,0.1999999999999993,0.5243902439024382,-0.12000000000000001,-0.21000000000000002
-0.5,0.26829268292682906,-0.24390243902439002,0.024390243902439046,-0.012195121951219523,-0.5699999999999932,2.9000000000000004,0.03658536585365857,0.019000000000000017,-0.012195121951219523,-0.06097560975609806,-0.010000000000001563,0.024390243902439046,-0.5,1.7439024390243887,-0.03,0.22
0.5,0.25609756097560954,0.19512195121951237,0.4512195121951219,-0.06097560975609756,-2.299999999999997,-0.9000000000000004,0.2073170731707319,0.10400000000000009,0.08536585365853644,0.5609756097560972,-0.25,0.13414634146341464,1,1.353658536585364,-0.22,0.13999999999999999
-2.5,0.6707317073170733,0.03658536585365857,0.7073170731707319,-0.060975609756097546,-0.4100000000000108,1.6999999999999993,0.25609756097560954,0.1279999999999999,0.09756097560975607,0.7195121951219514,-0.6600000000000001,0.1585365853658537,2.5,-0.4878048780487809,-0.01999999999999999,0.68
1.1999999999999993,0.35365853658536617,-0.8048780487804881,-0.4512195121951219,0.04878048780487805,6.8799999999999955,-0.8000000000000007,0.17073170731707332,0.08500000000000008,-0.04878048780487798,-0.08536585365853622,-0.7399999999999984,0.060975609756097504,-1.1999999999999993,-0.7804878048780495,0,0.28
0.7999999999999972,-0.2926829268292681,0.36585365853658525,0.07317073170731714,0.012195121951219523,-3.950000000000003,-0.09999999999999964,0.03658536585365857,0.018000000000000016,-0.09756097560975618,0.012195121951219967,-2.009999999999998,0.012195121951219523,0.8000000000000007,-1.8048780487804876,0,-0.31
