CF._Team,CF_Per60Team,CA_Per60Team,xGF.60,xGA.60,PDO,PenaltiesTaken,PenaltiesDrawn
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
-6.960000000000001,-2.6199999999999974,12.25,-0.07000000000000028,0.3800000000000001,2.9000000000000057,169,202
-5.450000000000003,-6.520000000000003,4.840000000000003,-0.18999999999999995,-0.09999999999999964,0.7900000000000063,-14,74
8.629999999999995,8.480000000000004,-9.780000000000001,0.26000000000000023,-0.3699999999999999,-1.2199999999999989,-103,-89
-1.4200000000000017,-4.299999999999997,-1.2000000000000028,-0.3900000000000001,-0.16999999999999993,-0.12999999999999545,-16,-29
8.260000000000005,5.579999999999998,-10.330000000000005,0.040000000000000036,-0.3899999999999999,-0.45000000000000284,-3,-7
1.240000000000002,-0.01999999999999602,-2.260000000000005,0.05999999999999961,-0.22999999999999998,-1.2800000000000011,-87,-13
0.75,1.8499999999999943,0.44000000000000483,-0.5100000000000002,-0.10000000000000009,-0.21000000000000796,0,-20
-1,-2.6700000000000017,-0.740000000000002,0,0.07000000000000006,0.3500000000000085,56,57
-0.980000000000004,0.8800000000000026,3.3200000000000003,-0.14000000000000012,0.010000000000000231,0.8599999999999994,-140,-98
-8.270000000000003,-6.420000000000002,10.46,-0.29000000000000004,0.0900000000000003,2.5700000000000074,20,9
10.760000000000005,9.979999999999997,-10.850000000000001,0.16999999999999993,-0.3600000000000001,-0.8599999999999994,2,-1
2.0799999999999983,2.460000000000001,-1.5100000000000051,0.33999999999999986,-0.20999999999999996,-1.1099999999999994,-45,21
-1.3700000000000045,-2.700000000000003,-0.00999999999999801,-0.020000000000000018,-0.17999999999999972,2.1500000000000057,-74,-47
7.100000000000001,8.29,-5.510000000000005,0.4700000000000002,-0.20999999999999996,-0.769999999999996,-49,5
13.190000000000005,9.410000000000004,-16.720000000000006,0.2400000000000002,-0.44000000000000017,-2.5900000000000034,-35,-32
2.6499999999999986,-1,-6.899999999999999,0.06000000000000005,-0.27,2.5700000000000074,-41,-51
2.280000000000001,3.8999999999999986,-1.3800000000000026,-0.10999999999999988,-0.33000000000000007,0.9699999999999989,-10,-45
0.39000000000000057,-5.130000000000003,-5.5,-0.20000000000000018,-0.42000000000000015,1.6700000000000017,77,-11
0.5700000000000003,-1.6200000000000045,-3.0600000000000023,-0.16999999999999993,-0.33000000000000007,1.6700000000000017,-70,-4
3.269999999999996,5.270000000000003,-1.509999999999998,0.3099999999999996,-0.17999999999999994,-1.6599999999999966,-96,14
5.280000000000001,9.310000000000002,-2.020000000000003,0.20000000000000018,0.17999999999999972,-0.7800000000000011,-72,-38
1.4799999999999969,1.9100000000000037,-1.0700000000000003,0.13000000000000034,0.08000000000000007,2.539999999999992,14,28
-0.4299999999999997,-6.57,-4.460000000000001,-0.10000000000000009,-0.10000000000000009,0.5,-47,-10
-1.6000000000000014,-6.859999999999999,-3.0799999999999983,-0.22999999999999998,-0.22999999999999998,4.040000000000006,45,-25
6.82,10.440000000000005,-4.780000000000001,0.48,0.04999999999999982,-2.660000000000011,-18,-52
6.350000000000001,9.450000000000003,-3.9200000000000017,0.04999999999999982,-0.08000000000000007,-1.309999999999988,-126,-37
-5.880000000000003,-3.990000000000002,7.539999999999999,-0.17999999999999972,0.13000000000000034,2.4399999999999977,50,24
-4,-8.200000000000003,0.7199999999999989,-0.41999999999999993,-0.33000000000000007,3.1300000000000097,91,18
2,5.759999999999998,0.8699999999999974,-0.04999999999999982,0.040000000000000036,-0.3499999999999943,-54,-68
9.18,8.090000000000003,-11.21,0.22999999999999998,-0.010000000000000231,-2.6400000000000006,-74,-62
5.689999999999998,8.880000000000003,-4.039999999999999,0.41000000000000014,-0.06000000000000005,2.9000000000000057,-22,-13
0.0800000000000054,-7.509999999999998,-7.380000000000003,-0.48,-0.42000000000000015,0.8100000000000023,-144,-109
-2.309999999999995,-0.7899999999999991,4.07,0.26000000000000023,0.3699999999999999,1.3900000000000006,-9,27
0.10000000000000142,4.269999999999996,3.740000000000002,0.07000000000000028,0.10000000000000009,1.8100000000000023,21,42
6.299999999999997,9.82,-3.529999999999994,0.3999999999999999,0,0.2599999999999909,23,-3
