Fenwick,Fenwick_Last20,Corsi_Last20,SOG_Last20,GoalsPercentage_Last20,MissesPercentage_Last20,BlocksPercentage_Last20,HitsPercentage_Last20
6.989999999999995,5.189999999999998,3.4100000000000037,4.6200000000000045,6.310000000000002,5.990000000000002,-1.7900000000000063,7.419999999999995
-0.6200000000000045,-3.480000000000004,-1.009999999999998,-3.8100000000000023,-9.79,-4.350000000000001,9.25,-6.030000000000001
-3.4599999999999937,3.8800000000000026,1.6999999999999957,1.4500000000000028,4.109999999999999,8.740000000000002,-5.469999999999999,9.990000000000002
-3.6600000000000037,-5.329999999999998,-1.9500000000000028,-4.039999999999999,-5.82,-8.79,8.410000000000004,-3.6799999999999997
7.6199999999999974,9.969999999999999,6.1199999999999974,11.079999999999998,17.940000000000005,8.400000000000006,-6.43,-5.850000000000001
4.910000000000004,0.75,0.3999999999999986,0.17999999999999972,-3.3599999999999994,4.790000000000006,-0.9600000000000009,8.100000000000001
-1.2199999999999989,-0.12000000000000455,-0.29999999999999716,-1.5300000000000011,-0.6099999999999994,2.710000000000001,-1.1299999999999955,-1.9200000000000017
-2.539999999999999,0.22999999999999687,2.1299999999999955,0.5399999999999991,4.439999999999998,-0.030000000000001137,7.060000000000002,4.1299999999999955
6.939999999999998,3.75,2.6700000000000017,1.25,0.14000000000000057,9.280000000000001,-0.1600000000000037,7.8699999999999974
-1.4300000000000068,-5.5,-2.509999999999998,-4.039999999999999,-9.340000000000003,-8.560000000000002,8.509999999999998,-4.219999999999999
0.8599999999999994,2.3400000000000034,0.740000000000002,5.880000000000003,12.600000000000001,-4.799999999999997,-4.490000000000002,-4.640000000000001
4.32,3.0500000000000043,0.7999999999999972,2.030000000000001,3.509999999999998,6.840000000000003,-6.990000000000002,13.800000000000004
-1.5200000000000031,-1.9299999999999997,-1.1899999999999977,-3,-4.520000000000003,0.7299999999999969,2.719999999999999,3.8900000000000006
2.1599999999999966,1.980000000000004,0.7999999999999972,4.170000000000002,10.89,-2.0899999999999963,-3.0900000000000034,0.6000000000000014
-2.3700000000000045,-4.25,-1.8200000000000003,-3.039999999999999,-1.7899999999999991,-6.469999999999999,7.43,-4.350000000000001
2.3100000000000023,4.68,2.7099999999999937,7.410000000000004,14.21,-1.5,-2.4099999999999966,-8.07
2.4399999999999977,5.670000000000002,4.530000000000001,4.07,2.5,6.240000000000002,0.4099999999999966,-1.5600000000000023
-2.200000000000003,-5.710000000000001,-2.25,-10.199999999999996,-14.909999999999997,2.3599999999999994,7.810000000000002,1.7899999999999991
6.039999999999999,9.259999999999998,4.8799999999999955,10.440000000000005,13.089999999999996,5.329999999999998,-8.519999999999996,-0.259999999999998
9.049999999999997,10.799999999999997,7.690000000000005,11.239999999999995,9.170000000000002,10.329999999999998,-5.439999999999998,-8.519999999999996
3.1999999999999957,-4.43,-4.049999999999997,-5.539999999999999,-9.660000000000004,-3.0700000000000003,-4.57,6.479999999999997
0.0800000000000054,2.269999999999996,-0.6499999999999986,6.859999999999999,11.36,-6,-10.360000000000007,-0.6799999999999997
-1.5900000000000034,-8.280000000000001,-7.25,-9.82,-14.64,-5.399999999999999,-2.950000000000003,-3.1199999999999974
0.9399999999999977,-3.520000000000003,-2.0700000000000003,-4.8899999999999935,-6.209999999999994,-2.960000000000001,1.7100000000000009,-10.600000000000001
-3.3699999999999974,-7.289999999999999,-4.839999999999996,-11.740000000000002,-18.879999999999995,1.259999999999998,2.9499999999999957,2.6499999999999986
5.589999999999996,-0.5600000000000023,-2.1099999999999994,-2.280000000000001,-9.560000000000002,3.6300000000000026,-8.170000000000002,-8.269999999999996
1.8499999999999943,-2.8699999999999974,-1.6799999999999997,-3.1000000000000014,-5.289999999999999,-2.799999999999997,1.4200000000000017,13.729999999999997
-1.5799999999999983,-5.109999999999999,-3.3500000000000014,-4.079999999999998,-1.8999999999999986,-6.75,2.25,-5.520000000000003
4.82,4.229999999999997,3.719999999999999,3.8699999999999974,2.3999999999999986,5.829999999999998,0.7000000000000028,-11.989999999999995
0.0799999999999983,-3.6499999999999986,-4.199999999999996,-4.780000000000001,-5.829999999999998,-0.4299999999999997,-7.090000000000003,8.229999999999997
-2.6799999999999997,-1.0700000000000003,-3.5,2.059999999999995,9.060000000000002,-6.759999999999998,-9.900000000000006,3.3999999999999986
-2.5500000000000043,2.460000000000001,0.04000000000000625,6.770000000000003,18.82,-5.399999999999999,-7.489999999999995,-4.759999999999998
7.32,9.019999999999996,8.229999999999997,11.469999999999999,17.89,4.790000000000006,6.8600000000000065,-0.1600000000000037
-2.210000000000001,-3.6199999999999974,-1.7100000000000009,-5.740000000000002,-12.68,-0.8999999999999986,3.5600000000000023,3.9199999999999946
8.810000000000002,9.199999999999996,7.420000000000002,7.660000000000004,5.6199999999999974,12.57,0.09000000000000341,-5.470000000000006
2.210000000000001,8.530000000000001,5.980000000000004,8.61,5.039999999999999,9.68,-1.4699999999999989,-4.339999999999996
-0.5700000000000003,-1.3200000000000003,0.9899999999999949,-2.5799999999999983,-1.8700000000000045,2.6799999999999997,8.620000000000005,2.1500000000000057
0.8800000000000026,-3.6299999999999955,-4.100000000000001,-3.960000000000001,-3.6700000000000017,-3.1000000000000014,-6.159999999999997,5.549999999999997
0.9299999999999997,-0.4100000000000037,-1.4400000000000048,2.4199999999999946,9.600000000000001,-5.279999999999994,-3.25,2.8399999999999963
-5.760000000000005,-0.7999999999999972,-2.0799999999999983,-0.6999999999999957,6.280000000000001,-1.1099999999999994,-6.049999999999997,0.29999999999999716
