BlocksatES,FaceoffWinPercentage,GiveAways,HitsatES,OT_Losses_Lead1P,OT_Losses_Lead2P,TakeAways,WinPercent_Lead1P,WinPercent_Lead2P,WinPercent_Trail1P,WinPercent_Trail2P
-167,-1.1999999999999957,-166,633,-4,-2,-129,0.06900000000000006,0.017000000000000015,0.10199999999999998,-0.167
-73,4.100000000000001,-65,-33,-2,0,-168,0.21100000000000008,0.10200000000000009,-0.09800000000000003,0.13799999999999998
109,2.6000000000000014,-34,-326,-2,2,229,0.04200000000000004,-0.15699999999999992,0.05499999999999999,-0.0050000000000000044
-139,0.3999999999999986,192,-87,-3,2,97,0.08000000000000007,-0.014000000000000012,-0.062,0.0030000000000000027
241,-2.5,-104,252,-7,-3,-270,0.19900000000000007,0.11399999999999999,-0.11400000000000005,-0.15800000000000003
8,1.2000000000000028,20,238,-1,0,84,0.05400000000000005,0.03400000000000003,0.184,0.1
145,-1.6000000000000014,113,169,2,3,144,-0.06500000000000006,-0.018000000000000016,0.15799999999999997,-0.14700000000000002
64,4.699999999999996,-177,107,-6,-2,-120,0.22000000000000008,0.132,-0.16500000000000004,-0.03500000000000003
224,1.8000000000000043,88,7,-2,-1,111,-0.027000000000000024,-0.06899999999999995,0.0050000000000000044,-0.08600000000000002
-77,1.5,-131,89,-4,-1,-149,0.07600000000000007,0.010000000000000009,-0.14300000000000002,0.024999999999999994
-70,1.1999999999999957,-267,-10,1,0,-84,0.14100000000000001,0.121,-0.08300000000000002,0.095
-101,3,13,55,-1,1,172,0.11399999999999999,0.04500000000000004,0.044999999999999984,0.045999999999999985
260,-0.20000000000000284,-237,444,-1,1,-106,0.08200000000000007,0.05700000000000005,-0.08900000000000002,0.00799999999999998
-248,4.5,-199,-194,-4,-1,-146,0.09900000000000009,0.038000000000000034,-0.0040000000000000036,0.025999999999999995
114,3.5,-133,181,5,5,116,-0.10199999999999998,-0.126,-0.159,-0.046999999999999986
-143,2.1000000000000014,-134,0,2,1,-39,-0.16100000000000003,0.02200000000000002,0.03400000000000003,0.09700000000000003
50,0.6000000000000014,-188,-448,0,-4,87,0.006000000000000005,0.09000000000000008,0.318,0.11599999999999999
-207,-2.8999999999999986,-431,384,0,-2,-139,-0.039000000000000035,0.04200000000000004,-0.045999999999999985,0.035
42,-0.3999999999999986,-68,584,-1,-3,-293,0.031000000000000028,0.08499999999999996,-0.249,-0.046999999999999986
241,-2.6000000000000014,76,-98,1,2,116,-0.02400000000000002,-0.07400000000000007,-0.12600000000000003,0.098
36,-0.10000000000000142,-212,447,-1,2,-66,-0.04299999999999993,-0.052999999999999936,-0.0040000000000000036,0.00799999999999998
280,1.1999999999999957,-7,381,1,-1,-8,0.09799999999999998,0.039000000000000035,-0.028000000000000025,-0.006000000000000005
151,-1.1000000000000014,-390,-325,-1,-4,48,-0.050000000000000044,0.07100000000000006,0.139,0.173
-142,1.1000000000000014,-138,570,-1,-3,-160,0.031000000000000028,0.11399999999999999,-0.07699999999999999,-0.13
410,2.799999999999997,-107,742,2,0,50,0.009000000000000008,0.05600000000000005,-0.09900000000000003,0.022999999999999993
102,-1.3999999999999986,-250,-190,-1,-6,30,0.04599999999999993,0.14700000000000002,0.019000000000000003,0.091
-41,-4.399999999999999,-138,-597,-2,-3,34,-0.031000000000000028,0.029000000000000026,0.274,0.147
-31,1.7999999999999972,-177,211,-1,-1,-155,0.027000000000000024,0.10799999999999998,0.08300000000000002,0.19000000000000003
86,0.6999999999999957,-6,-240,-1,1,-52,0.122,-0.09499999999999997,-0.08900000000000001,0.02099999999999999
-8,0.7999999999999972,69,-322,-1,0,36,-0.129,-0.136,0.137,0.12800000000000003
-176,6.399999999999999,-152,-426,0,3,-51,0.038000000000000034,-0.21799999999999997,-0.13299999999999998,0.132
38,-1.6000000000000014,30,-116,0,1,205,0.14500000000000002,-0.0030000000000000027,0.017000000000000015,0.28900000000000003
216,-3.299999999999997,13,284,2,1,-5,0.15700000000000003,0.038000000000000034,0.17099999999999999,0.16899999999999998
-234,-5.799999999999997,-135,-11,3,1,-19,-0.10999999999999999,-0.04999999999999993,-0.08599999999999997,-0.139
166,-1.2999999999999972,-207,-326,1,-2,66,-0.1489999999999999,0.041000000000000036,0.043999999999999984,0.049000000000000016
119,2.3999999999999986,-102,-78,-2,-1,-85,0.17299999999999993,0.04499999999999993,0.3,0.11900000000000002
-123,6.399999999999999,68,-213,1,4,7,-0.16400000000000003,-0.348,-0.146,0.1
92,0,-21,-25,0,1,182,0.252,0.040000000000000036,0.08300000000000002,0.275
-289,-1.3999999999999986,-51,415,-1,0,-117,0.11399999999999999,0.031000000000000028,0.027000000000000024,-0.008000000000000007
85,-4.899999999999999,-104,29,-2,-4,-51,0.07499999999999996,0.29799999999999993,0.33299999999999996,0.08300000000000002
141,-1.2000000000000028,-81,-606,1,0,241,-0.04299999999999993,0.03300000000000003,0.020000000000000018,0.18600000000000003
2,-5.600000000000001,-57,-360,-1,-2,189,0.13,0.245,0.166,0.15000000000000002
37,0.8999999999999986,6,387,-7,-5,40,0.126,0.19700000000000006,0.019999999999999962,0.209
-370,-0.3999999999999986,-6,-80,1,-1,66,-0.10099999999999998,-0.07300000000000006,-0.08599999999999997,0.095
106,-0.5,160,-447,-2,-2,-101,0.16000000000000003,0.03200000000000003,0.14200000000000002,0.128
-81,-1.2000000000000028,119,-269,0,-2,119,0.019000000000000017,0.07400000000000007,-0.026000000000000023,-0.059
76,-1.3999999999999986,59,623,-2,-1,85,0.04899999999999993,0.07700000000000007,0.142,0.05400000000000002
98,-0.10000000000000142,-291,464,1,1,-39,-0.0040000000000000036,0.02400000000000002,0.01899999999999999,-0.008000000000000007
32,-0.8999999999999986,-123,380,0,-1,-122,0.04599999999999993,0.051000000000000045,0.28300000000000003,0.196
359,0,-34,-977,4,2,297,-0.017000000000000015,0.0020000000000000018,0.2919999999999999,-0.018000000000000016
-440,2,-38,286,-1,-1,106,-0.027999999999999914,-0.010000000000000009,0.067,0.207
68,2.200000000000003,-97,257,-1,0,-178,0.124,-0.04200000000000004,0.068,0.04099999999999998
-103,1.1000000000000014,165,-37,-2,-1,35,0.08299999999999996,0.02400000000000002,0.02300000000000002,-0.021999999999999992
315,-3.5999999999999943,-197,-585,0,2,103,0.04599999999999993,0.030000000000000027,0.189,0.061
372,0.8000000000000043,-60,-183,0,1,-118,0.051999999999999935,0.018000000000000016,0.035999999999999976,-0.07
96,-0.7999999999999972,-226,-1234,0,3,239,0.08499999999999996,-0.03200000000000003,-0.04200000000000001,0
-192,4,161,704,0,-2,-220,-0.0020000000000000018,-0.0030000000000000027,0.02300000000000002,0.033
361,3.8999999999999986,111,-583,1,0,-191,0.018000000000000016,0.04400000000000004,-0.19500000000000006,-0.06899999999999998
190,-1.7999999999999972,66,190,3,-2,115,-0.049000000000000044,0.10399999999999998,-0.014000000000000012,-0.21800000000000003
65,-2.3999999999999986,194,-582,-1,-1,226,0.118,0.09099999999999997,0.33999999999999997,0.286
-52,2,-232,-350,0,-1,-185,0.19999999999999996,0.09399999999999997,-0.247,-0.13
-60,3.5,-97,524,-1,2,-53,-0.03599999999999992,-0.03300000000000003,0.10600000000000001,0.04199999999999998
140,-3.1000000000000014,26,334,4,5,-64,-0.15600000000000003,-0.22899999999999998,-0.07299999999999998,-0.017000000000000015
42,2.700000000000003,-27,-108,-3,-4,-57,0.1369999999999999,0.1489999999999999,0.03999999999999998,0.30300000000000005
-341,-0.6999999999999957,-210,-200,1,2,-312,-0.11599999999999999,-0.041000000000000036,-0.09999999999999998,-0.122
308,2.3999999999999986,163,-63,0,1,-73,-0.119,-0.07799999999999996,-0.066,0.116
-112,-4.5,78,-422,1,-2,78,-0.014000000000000012,0.09799999999999998,0.326,0.19899999999999998
-193,2.1000000000000014,112,34,-2,-2,8,0.05300000000000005,0.125,0.07699999999999999,-0.01899999999999999
-395,4.200000000000003,-154,519,3,1,-335,-0.07600000000000007,0.014999999999999902,-0.11499999999999999,0.049000000000000044
61,-3,108,154,0,-1,137,0.020000000000000018,0.030000000000000027,0.07900000000000001,0.17099999999999999
122,-0.3999999999999986,111,944,3,2,-114,-0.08400000000000007,-0.062000000000000055,0.014000000000000012,0.11200000000000002
58,-2.299999999999997,33,402,3,2,-63,-0.06400000000000006,-0.05700000000000005,0.11699999999999999,-0.116
-380,0,-208,-401,0,3,-117,-0.007000000000000006,-0.09299999999999997,-0.183,-0.08000000000000002
118,-1,80,31,-1,-7,55,-0.018000000000000016,0.21100000000000008,0.036000000000000004,-0.14600000000000002
-43,-1.3999999999999986,39,-202,0,-1,110,0.18999999999999995,0.07099999999999995,0.31999999999999995,0.171
-223,1,-193,-217,-3,-2,-103,0.10299999999999998,0.125,-0.04600000000000004,0.013000000000000012
15,-2.299999999999997,315,150,-1,1,72,0.10399999999999998,0.05399999999999994,0.27299999999999996,0.142
-6,2,-197,548,0,1,27,-0.07499999999999996,-0.07800000000000007,0.259,0.10800000000000001
-54,3.1999999999999957,169,348,0,1,-45,0,0.018000000000000016,-0.01100000000000001,0.03900000000000001
-265,-0.20000000000000284,-203,809,1,-1,-246,-0.15400000000000003,-0.09500000000000008,0.08799999999999997,0.101
-295,-0.6000000000000014,-139,-629,-2,-2,-153,-0.05399999999999994,0.04200000000000004,-0.10699999999999998,-0.11300000000000002
175,-0.6000000000000014,95,47,1,1,65,0.04599999999999993,-0.026000000000000023,0.135,0.151
97,-1.0999999999999943,427,-381,-1,-3,71,0.027999999999999914,0.119,-0.008000000000000007,-0.026000000000000023
60,2,298,-200,-6,-2,120,0.16500000000000004,0.09400000000000008,0.019000000000000017,0.045999999999999985
64,0.7000000000000028,-48,265,0,0,30,0.11699999999999999,0.07899999999999996,0.09499999999999997,0.08000000000000002
-165,0.5999999999999943,-486,251,3,3,-89,-0.061999999999999944,-0.1090000000000001,0.13699999999999996,0.026000000000000023
-201,-0.5,-300,261,0,-2,-93,0.04700000000000004,0.06699999999999995,0.06499999999999995,-0.03999999999999998
-31,1.8999999999999986,74,149,1,3,-116,0.06700000000000006,-0.0040000000000000036,-0.191,0.129
258,-2.200000000000003,80,338,-3,0,-79,0.008000000000000007,-0.06499999999999995,0.038000000000000034,0.076
-64,-0.10000000000000142,32,-209,-5,-8,-89,0.09600000000000009,0.19699999999999995,0.299,0.02500000000000001
128,-1,122,406,1,-2,15,0.02100000000000002,0.05699999999999994,0.279,0.12599999999999997
116,-3.8999999999999986,78,-482,-2,-3,45,0.10599999999999998,0.07299999999999995,-0.021999999999999964,0.009000000000000008
26,1.6000000000000014,69,-404,0,1,4,0.04899999999999993,-0.03300000000000003,-0.02699999999999997,-0.01100000000000001
37,5.800000000000004,-39,596,2,1,-233,-0.10199999999999998,-0.07899999999999996,-0.142,-0.05
-65,-1.1000000000000014,-134,534,1,-1,-33,-0.11699999999999999,0.038000000000000034,0.09599999999999997,0.217
108,2.6000000000000014,-68,399,-1,2,-110,0.009000000000000008,0.008000000000000007,-0.177,-0.006000000000000005
-205,2.1999999999999957,195,-333,2,0,111,0.03200000000000003,0.0040000000000000036,-0.11300000000000004,-0.14999999999999997
25,-1.1000000000000014,-267,28,-3,-4,-37,0.08699999999999997,0.09499999999999997,0.0050000000000000044,-0.096
-146,7.700000000000003,-182,73,1,1,-214,-0.031000000000000028,-0.014000000000000012,-0.13499999999999998,-0.188
-45,-3.3999999999999986,-133,-54,1,-1,-5,0.028000000000000025,0.06999999999999995,0.269,0.10699999999999998
38,3.3000000000000043,68,486,-2,-4,-145,0.03699999999999992,0.10799999999999998,-0.144,-0.179
197,-3.799999999999997,-40,400,-3,-5,-24,0.09599999999999997,0.16499999999999992,0.18700000000000006,0.035999999999999976
-49,1.2000000000000028,39,-88,-1,0,-104,0.08199999999999996,-0.017999999999999905,0.010000000000000009,0.065
-32,-1.0999999999999943,-245,282,2,2,-8,0.019000000000000017,0.031000000000000028,0.069,0.028999999999999998
2,2,364,39,-2,0,-25,0.20699999999999996,0.06700000000000006,0.018000000000000016,-0.025999999999999995
-46,-3.0999999999999943,-23,281,-2,-3,104,0.15399999999999991,0.09400000000000008,0.04199999999999998,0.04000000000000001
-95,9.099999999999994,288,23,2,1,125,-0.07299999999999995,-0.015000000000000013,0.30000000000000004,0.137
-55,2.6000000000000014,320,464,-1,-3,109,0.025000000000000022,0.11699999999999999,0.069,0.053000000000000005
-19,-0.8000000000000043,-59,-348,-1,1,459,0,-0.039000000000000035,-0.05099999999999999,0.05199999999999999
-148,0.09999999999999432,7,569,3,4,-230,-0.11399999999999999,-0.129,-0.19200000000000003,0
55,-2.5,-68,-186,-2,-2,-107,-0.03600000000000003,0.031000000000000028,0.05099999999999999,0.086
36,0.19999999999999574,148,-167,-2,1,10,0.14500000000000002,-0.02300000000000002,0.026000000000000023,-0.057999999999999996
-36,0.8999999999999986,-36,-175,2,3,59,-0.14,-0.09499999999999997,-0.043999999999999984,0.064
-202,-2.3000000000000043,-45,387,-1,0,145,-0.08299999999999996,-0.04800000000000004,-0.127,0.068
-93,-2.1999999999999957,-190,-56,0,-1,-17,-0.14500000000000002,0.02300000000000002,0.0020000000000000018,0.16999999999999998
61,3.5,52,64,0,-1,-266,0.132,0.09399999999999997,0.17099999999999999,-0.10399999999999998
-41,-1.5,-103,-17,1,-1,263,-0.21599999999999997,-0.039000000000000035,-0.044999999999999984,0.10999999999999999
