CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
8.649999999999999,-30.220000000000006,6.050000000000004,-16.300000000000004,1.5599999999999987,-17.22,19.96,4.040000000000001,0.74,-0.3999999999999999,0.3599999999999999,-1.23
19.630000000000003,-4.380000000000003,14.02,-1.6099999999999994,6.84,-2.09,-48.209999999999994,-5.83,-0.24,0.8599999999999999,0.32000000000000006,0.08999999999999986
9.439999999999998,-10.25,2.9399999999999977,-10.04,5.920000000000002,-4.439999999999998,3.3299999999999983,-5.1899999999999995,-0.54,-0.75,0.13999999999999968,-0.6600000000000001
-5.140000000000001,1.1799999999999997,-3.9299999999999997,-0.29999999999999716,1.3200000000000003,0.35999999999999943,-28.950000000000003,-11.619999999999997,-0.1399999999999999,0.06000000000000005,0.16000000000000014,0.1399999999999999
-0.3100000000000023,-15.350000000000001,-0.10999999999999943,-9.630000000000003,3.34,-6,14.519999999999996,-0.15000000000000036,0.7199999999999999,-0.3999999999999999,0.5099999999999998,-0.6200000000000001
8.75,-3.1200000000000045,3.8400000000000034,-0.5399999999999991,0.8500000000000014,-2.1799999999999997,-4.300000000000004,-1.1999999999999993,0,-0.3699999999999999,-0.040000000000000036,-0.21999999999999997
6.210000000000001,-2.200000000000003,7.979999999999997,-1.0900000000000034,2.530000000000001,0.05000000000000071,-5.399999999999999,-3.91,-0.3799999999999999,0.010000000000000009,0.10000000000000009,-0.050000000000000266
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
11.339999999999996,-20.68,5.479999999999997,-16.79,6.949999999999999,-2.9499999999999993,16.88000000000001,-4.15,-0.5099999999999998,-0.64,0.74,-0.4600000000000002
-1.9699999999999989,-0.4199999999999946,1.1799999999999997,0.6499999999999986,0.5599999999999987,1.1600000000000001,0,1.33,0.97,0.17999999999999994,0.45999999999999996,0.24
-0.519999999999996,-1.4099999999999966,-0.8999999999999986,1.5499999999999972,-0.33999999999999986,-2.1900000000000013,-14.670000000000002,-6.130000000000001,-1.4800000000000002,-0.42999999999999994,-0.5800000000000001,-0.14000000000000012
3.559999999999995,-5.789999999999999,-2.6600000000000037,-6.390000000000001,-0.490000000000002,-6.859999999999999,-29.159999999999997,-3.41,-0.1299999999999999,1.53,0.16999999999999993,-0.2100000000000002
15.609999999999992,-13.380000000000003,8.700000000000003,-7.519999999999996,5.07,-5.120000000000001,11.52000000000001,-1.370000000000001,-0.7500000000000002,-0.54,0.41000000000000014,-0.3400000000000003
-3.969999999999999,-13.520000000000003,-3.8200000000000003,-8.770000000000003,-2.870000000000001,-6.270000000000003,3.7900000000000063,-0.5400000000000009,-0.40000000000000013,-0.59,-0.56,-0.41999999999999993
-4.380000000000003,-5.850000000000001,-3.789999999999999,-4.399999999999999,-0.870000000000001,-3.0400000000000027,-10.980000000000004,-5.83,-0.76,-0.19000000000000006,-0.25,-0.07000000000000006
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4.479999999999997,8.159999999999997,4.859999999999999,2.8699999999999974,13.24,9.899999999999999,1.25,-8.860000000000001,0.17999999999999994,-0.3799999999999999,0.9200000000000002,0.6599999999999999
-3.5,19.04,-4.799999999999997,7.880000000000003,1.1400000000000006,9.98,-35.87,2.0700000000000003,0.3800000000000001,1.3399999999999999,-0.32000000000000006,0.78
-8.299999999999997,-14.089999999999996,-7.380000000000003,-12.519999999999996,-7.700000000000003,-1.7899999999999991,-4.760000000000005,3.63,-0.15000000000000013,-0.31000000000000005,-0.8300000000000001,-0.09999999999999987
-1.3100000000000023,10.939999999999998,0.6799999999999997,3.9099999999999966,-0.35999999999999943,8.759999999999998,20.769999999999996,-4.93,-0.8200000000000001,-0.56,-0.050000000000000044,0.48
2.9299999999999997,15.200000000000003,0.17999999999999972,7.25,6.41,8.600000000000001,-17.229999999999997,-5.140000000000001,-0.3599999999999999,-0.010000000000000009,0.03000000000000025,0.51
-5.82,4.630000000000003,-4.82,3.289999999999999,-5.57,3.129999999999999,10,2.6599999999999984,0.27,-0.52,-0.74,0.5299999999999998
-8.430000000000007,-13.240000000000002,-7.719999999999999,-9.409999999999997,-4.009999999999998,-4.16,0.3299999999999983,2.4799999999999986,0.21999999999999997,0,-0.3799999999999999,-0.22999999999999998
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-8.159999999999997,0.9299999999999997,-3.520000000000003,-1.8299999999999983,5.009999999999998,1.8100000000000023,-9.54,-0.34999999999999787,0.3799999999999999,0.72,0.32999999999999985,0.2899999999999996
18.199999999999996,-15.61,14.759999999999998,-5.280000000000001,4.539999999999999,-7.699999999999999,-10,-4.73,-1.0299999999999998,0.16999999999999993,0.2599999999999998,-0.5299999999999998
0.03999999999999915,-9.129999999999995,-0.1700000000000017,-8.200000000000003,-5.52,-12.05,28.75,8.410000000000002,0.5900000000000001,-0.62,-0.32000000000000006,-0.81
1.0600000000000023,-8.690000000000005,-0.8500000000000014,-0.4200000000000017,-4.559999999999999,4.399999999999999,-16.67,-1.1099999999999994,-0.43999999999999995,0.26999999999999996,-0.7400000000000002,0.26000000000000023
-16.830000000000005,5.8699999999999974,-10.530000000000001,3.5,-3.8999999999999986,2.280000000000001,7.140000000000001,5.389999999999999,1.01,0.3700000000000001,-0.40000000000000036,0.3200000000000003
5.479999999999997,-10.07,5.530000000000001,-8.25,4.960000000000001,-4.830000000000002,5,2.76,0.8699999999999999,0.77,0.3799999999999999,-0.55
-10.18,-11.009999999999998,-6.240000000000002,-6.589999999999996,-1.7899999999999991,-3.59,3.9299999999999997,0.7899999999999991,0.16000000000000014,0.10999999999999999,-0.26000000000000023,-0.28
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-9.920000000000002,-0.8799999999999955,-9.409999999999997,1.7299999999999969,-9.77,-5.379999999999999,-13.189999999999998,-5.07,-0.17999999999999994,-0.3900000000000001,-0.7900000000000003,-0.30000000000000004
0.21000000000000085,-5.310000000000002,0.3100000000000023,-2.1400000000000006,-2.0100000000000016,-5.539999999999999,-5.88000000000001,1.25,-1.01,0.51,-0.6699999999999999,-0.3600000000000001
-7.060000000000002,12.160000000000004,-7.149999999999999,9.439999999999998,3.3900000000000006,5.370000000000001,-4.090000000000003,-2.7200000000000006,-0.1399999999999999,0.39,-0.020000000000000018,0.6199999999999999
-6.680000000000007,5.829999999999998,-6.939999999999998,-0.6899999999999977,-1.6999999999999993,-1.370000000000001,-9.61,-3.3400000000000016,-0.6699999999999999,-0.6699999999999999,0.029999999999999805,-0.16999999999999993
-1.4699999999999989,2.6499999999999986,-2.1700000000000017,0.9500000000000028,-1.3499999999999979,-0.629999999999999,2.280000000000001,1.92,-0.41999999999999993,-0.30000000000000004,-0.3800000000000001,-0.06999999999999984
-10.899999999999999,-0.3500000000000014,-10.559999999999995,-3.269999999999996,-4.120000000000001,-6.359999999999999,-0.6499999999999986,-2.290000000000001,-0.6499999999999999,-0.4500000000000002,-0.5599999999999998,-0.51
4.839999999999996,-3.210000000000001,2.6600000000000037,0.030000000000001137,0.7300000000000004,-0.0799999999999983,-1.759999999999998,3.4099999999999984,0.20999999999999996,0.5,-0.020000000000000018,0.10999999999999988
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
17.630000000000003,18.6,10.649999999999999,11.200000000000003,3.3500000000000014,3.16,-6.670000000000002,-10.530000000000001,-0.3699999999999999,-0.38000000000000006,0.26,0.47
-12.329999999999998,-7.899999999999999,-6.340000000000003,-7.310000000000002,-6.84,-0.9499999999999993,7.140000000000001,0.8200000000000003,0.27,0.51,0,0.10000000000000009
20,-1.9599999999999937,11.989999999999998,2.710000000000001,4.969999999999999,-2.84,4.079999999999998,1.6400000000000006,0.06999999999999995,0.16999999999999993,0.28,0.31000000000000005
7.609999999999999,-10.699999999999996,10.54,-1.6899999999999977,1.0299999999999976,-5.550000000000001,15.439999999999998,6.6899999999999995,1.1800000000000002,0.39,0.6000000000000001,-0.33999999999999986
11.669999999999995,7.660000000000004,7.939999999999998,4.520000000000003,9.5,5.390000000000001,-16.6,-8.89,-0.20000000000000018,0.6800000000000002,0.7500000000000002,0.9200000000000002
1.6600000000000037,-3.979999999999997,3.490000000000002,-4.699999999999996,4.449999999999999,-2.3500000000000014,14.519999999999996,5.159999999999998,1.0899999999999999,-0.45000000000000007,0.47,-0.31999999999999984
-11.009999999999998,-5.770000000000003,-5,-5.940000000000005,-3.8599999999999994,-1.75,6.899999999999999,4.190000000000001,-0.020000000000000018,-0.26,-0.1100000000000001,-0.4500000000000002
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2.059999999999995,-6,0.8900000000000006,-3.8000000000000043,-1.6799999999999997,-6.279999999999998,12.670000000000002,8.350000000000001,0.18999999999999995,-0.13000000000000012,-0.1200000000000001,-0.31999999999999984
11.380000000000003,-8.589999999999996,4.859999999999999,-6.979999999999997,3.919999999999998,-7.360000000000003,-18.82,-11.54,-1.9100000000000001,-0.8600000000000001,-0.16999999999999993,-0.7400000000000002
12.120000000000005,-7.809999999999995,2.719999999999999,-8.990000000000002,0.46999999999999886,-7.23,-1.1599999999999966,11.01,0.69,1.0999999999999999,-0.25,-0.6099999999999999
-5.780000000000001,7.390000000000001,-3.9299999999999997,-0.6799999999999997,4.390000000000001,3.3500000000000014,9.520000000000003,-0.620000000000001,-0.76,-0.73,0.20000000000000018,-0.08999999999999986
2.3700000000000045,10.239999999999995,1.4200000000000017,4.649999999999999,-2.5,3.6499999999999986,-4.490000000000002,-1.6099999999999994,0.6000000000000001,0.45000000000000007,0.16999999999999993,0.18999999999999995
-2.6899999999999977,-2.4200000000000017,0.6000000000000014,4.18,-0.9599999999999973,3.0700000000000003,0.5399999999999991,-2.24,0.08000000000000007,-0.18000000000000016,0.050000000000000266,0.48
5.210000000000001,2.3900000000000006,7.469999999999999,4.930000000000007,1.759999999999998,4.440000000000001,-3.519999999999996,-2.5,0.3600000000000001,0.010000000000000009,0.2999999999999998,0.26
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-2.8200000000000003,-9.900000000000006,0.8499999999999943,-4.900000000000006,0.509999999999998,-1.0300000000000011,-17.620000000000005,-6.530000000000001,-0.010000000000000009,0.17000000000000004,0.3500000000000001,-0.19999999999999996
8.57,-3.1300000000000026,5.550000000000004,-3.4000000000000057,-0.3100000000000023,-3.6899999999999977,-14.280000000000001,-4.969999999999999,-1.5799999999999998,-0.18000000000000016,-0.5800000000000001,-0.4900000000000002
-14.399999999999999,10.620000000000005,-7.510000000000002,9.110000000000007,-9.750000000000002,4.630000000000003,-13.129999999999995,-2.299999999999999,-1.2300000000000002,-0.030000000000000027,-0.8099999999999998,0.11000000000000032
-1.3400000000000034,6.330000000000005,4.93,8.550000000000004,-1.5599999999999987,2.4299999999999997,25,0.75,0.45999999999999996,-0.69,0.03000000000000025,0.3900000000000001
-7.539999999999999,14.059999999999995,-4.390000000000001,7.670000000000002,2.599999999999998,8.04,2.690000000000005,2.549999999999999,0.49,-0.19999999999999996,0.24999999999999978,0.5899999999999999
10.179999999999993,2.0600000000000023,12.199999999999996,2.3900000000000006,2.8599999999999994,3.700000000000003,-3.5799999999999983,-1.9900000000000002,-0.22999999999999998,0.14000000000000012,0.56,0.2599999999999998
-6.279999999999994,3.8100000000000023,-3.719999999999999,1.5300000000000011,-2.780000000000001,5.180000000000003,-16.32,-2.41,-0.17999999999999994,0.26,-0.2599999999999998,0.010000000000000231
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
-3.8000000000000043,-6.109999999999999,-1.0799999999999983,-2.219999999999999,-2.8500000000000014,-8.129999999999999,13.64,-1.9600000000000009,-0.15999999999999992,-1.58,-0.08000000000000007,-0.4199999999999997
3.200000000000003,8.5,-0.9200000000000017,8.07,-1.1499999999999986,2.280000000000001,-32.89,-14.379999999999999,-2.04,0.5900000000000001,-0.11999999999999966,0.1399999999999999
-0.5400000000000063,7.979999999999997,-1.019999999999996,3.490000000000002,-2.6700000000000017,4.579999999999998,-6.539999999999999,5.15,0.3700000000000001,1.04,-0.06000000000000005,0.3899999999999999
5.1199999999999974,-10.090000000000003,2.3299999999999983,-7.850000000000001,0.6400000000000006,-6.579999999999998,-1.8199999999999932,-11.33,-2.09,-0.33,-0.06000000000000005,-0.7400000000000002
0.7000000000000028,-9.310000000000002,5.07,-5.009999999999998,-0.5899999999999999,-6.48,12.380000000000003,-0.08000000000000007,0.1100000000000001,-0.61,0.18999999999999995,-0.45999999999999996
1.7999999999999972,-0.740000000000002,4.100000000000001,1.7700000000000031,-0.030000000000001137,1.9499999999999993,-7.599999999999994,3.1899999999999995,0.30999999999999994,0.66,0.3099999999999996,0.04999999999999982
2.979999999999997,1.6099999999999994,0.5700000000000003,0.9600000000000009,0.5,-1.1499999999999986,12.179999999999993,-1.4100000000000001,0.2599999999999999,-0.24,0.17000000000000037,0.19999999999999973
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
